mes,material,sku,produto,cor,tamanho,construcao,padronagem,marca,decote,detalhe,loja,centro_distribuicao,idade_loja,uf_loja,cidade_loja,regiao_loja,bairro_loja,clima_loja,perfil_loja,porte_loja,estoque_unidades_inicio,estoque_unidades_fim,estoque_unidades,estoque_unidades_mediana,prop_dias_com_estoque,venda_unidades,venda_valor_total,preco_atual,preco_original,diff_preco,etiqueta,prop_dias_com_venda,total_observacoes_vendas,pedidos,pedidos_m1,pedidos_m2,pedidos_m3,pedidos_m4,pedidos_m5,pedidos_m6,pedidos_m7,pedidos_m8,pedidos_m9,pedidos_m10,pedidos_m11,pedidos_m12
2024-09-01,d4a45ed85043f3281349ae4e32933d7d,d3a8d0388ab7e632feb9a1d07ed654a4,blusa,preto,p,tecido plano,liso,9,decote u,curto,00703d74-ba0a-4dbf-81a1-605aff02efd7,CD1,14.0,BA,BAHIA,NORDESTE,GOES CALMON,3,2,1,2.000,2.000,1.8000000,2.000,1.0,1.000,69.90,,,,,0.03333333333333333,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-01,d4a45ed85043f3281349ae4e32933d7d,d3a8d0388ab7e632feb9a1d07ed654a4,blusa,preto,p,tecido plano,liso,9,decote u,curto,015fde50-aac3-4a8e-b963-8f7ee85c89f2,CD1,11.0,CE,CEARA,NORDESTE,PAPICU,3,3,2,3.000,4.000,3.7000000,4.000,1.0,2.000,130.36,,,,,0.06666666666666667,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-01,d4a45ed85043f3281349ae4e32933d7d,d3a8d0388ab7e632feb9a1d07ed654a4,blusa,preto,p,tecido plano,liso,9,decote u,curto,02568ece-15d4-40d5-b05a-47069ea100e2,CD2,26.0,SP,SAO PAULO,SUDESTE,APARECIDA,2,3,4,5.000,0.000,1.9333333,2.000,0.6666666666666666,4.000,279.60,,,,,0.13333333333333333,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-01,d4a45ed85043f3281349ae4e32933d7d,d3a8d0388ab7e632feb9a1d07ed654a4,blusa,preto,p,tecido plano,liso,9,decote u,curto,02fafdd7-14d5-4a99-95c9-30cba7021e71,CD2,28.0,SP,SAO PAULO,SUDESTE,PARAISO,2,2,2,2.000,1.000,1.9666667,2.000,1.0,3.000,209.70,,,,,0.1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-01,d4a45ed85043f3281349ae4e32933d7d,d3a8d0388ab7e632feb9a1d07ed654a4,blusa,preto,p,tecido plano,liso,9,decote u,curto,05667a35-e2d8-45af-bc0a-ecda4ad8508e,CD2,42.0,PR,PARANA,SUL,CENTRO,2,1,1,4.000,2.000,3.0333333,3.000,1.0,2.000,149.80,,,,,0.06666666666666667,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-01,d4a45ed85043f3281349ae4e32933d7d,d3a8d0388ab7e632feb9a1d07ed654a4,blusa,preto,p,tecido plano,liso,9,decote u,curto,05bc0f43-3c7b-4d32-81ce-02a036f1d66f,CD1,17.0,CE,CEARA,NORDESTE,SAPIRANGA,3,2,1,2.000,2.000,2.0000000,2.000,1.0,0.000,0.00,,,,,0.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-01,d4a45ed85043f3281349ae4e32933d7d,d3a8d0388ab7e632feb9a1d07ed654a4,blusa,preto,p,tecido plano,liso,9,decote u,curto,08b66e4d-42f1-4171-9bd0-db235ef765b1,CD1,12.0,AL,ALAGOAS,NORDESTE,CRUZ DAS ALMAS,3,3,1,3.000,2.000,2.9666667,3.000,1.0,1.000,79.90,,,,,0.03333333333333333,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-01,d4a45ed85043f3281349ae4e32933d7d,d3a8d0388ab7e632feb9a1d07ed654a4,blusa,preto,p,tecido plano,liso,9,decote u,curto,092e338b-f578-4f78-ad42-3bb59a2e6639,CD2,18.0,SP,SAO PAULO,SUDESTE,PERDIZES,1,3,3,5.000,1.000,2.8000000,3.000,1.0,5.000,359.50,,,,,0.16666666666666666,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-01,d4a45ed85043f3281349ae4e32933d7d,d3a8d0388ab7e632feb9a1d07ed654a4,blusa,preto,p,tecido plano,liso,9,decote u,curto,09cbe607-65e9-4e5f-a037-e82139c283fb,CD1,11.0,CE,CEARA,NORDESTE,JEREISSATI II,3,1,1,2.000,2.000,2.0000000,2.000,1.0,0.000,0.00,,,,,0.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-01,d4a45ed85043f3281349ae4e32933d7d,d3a8d0388ab7e632feb9a1d07ed654a4,blusa,preto,p,tecido plano,liso,9,decote u,curto,0a831d2a-d950-4493-b763-9f98ef08981f,CD1,12.0,PE,PERNAMBUCO,NORDESTE,PIEDADE,3,1,2,3.000,3.000,2.8333333,3.000,1.0,1.000,69.60,,,,,0.03333333333333333,30,0,0,0,0,0,0,0,0,0,0,0,0,0
